,title,country,clean_description,listed_in_clean,cast_clean,combined
3699,romeo akbar walter,India,fallen army major son research analysis wing serve undercover agent war,dramas international movies thrillers,john abraham jackie shroff mouni roy sikander kher raghuvir yadav alka amin rajesh shringarpure anil george,fallen army major son research analysis wing serve undercover agent war dramas international movies thrillers john abraham jackie shroff mouni roy sikander kher raghuvir yadav alka amin rajesh shringarpure anil george
3700,scare tactics,United States,ghoulish hilarious show mischievous family setting unsuspecting elaborate use special effect unleash worst upon,reality comedies horror,tracy morgan lauren ash,ghoulish hilarious show mischievous family setting unsuspecting elaborate use special effect unleash worst upon reality comedies horror tracy morgan lauren ash
3701,super deluxe,India,sex stigma spirituality merge eccentric unfaithful wife woman past,comedies dramas international movies,vijay sethupathi fahadh faasil samantha ruth prabhu ramya krishnan mysskin gayathrie ashwanth ashok kumar bagavathi perumal,sex stigma spirituality merge eccentric unfaithful wife woman past comedies dramas international movies vijay sethupathi fahadh faasil samantha ruth prabhu ramya krishnan mysskin gayathrie ashwanth ashok kumar bagavathi perumal
3702,dope,United States,police vivid series bracing look war,crime shows docuseries,nan,police vivid series bracing look war crime shows docuseries nan
3703,el testigo,"Colombia, Peru, United Kingdom",colorado behind series civil war throughout,documentaries international movies,jesús abad colorado,colorado behind series civil war throughout documentaries international movies jesús abad colorado
3704,exhibit a,United States,true crime series innocent people dubious forensic touch cadaver dog,crime shows docuseries science nature,nan,true crime series innocent people dubious forensic touch cadaver dog crime shows docuseries science nature nan
3705,instant hotel,Australia,compete title best instant hotel overnight rating experience,international shows reality,luke jacobz juliet ashworth,compete title best instant hotel overnight rating experience international shows reality luke jacobz juliet ashworth
3706,la leyenda del diamante,Mexico,rebel rescue sister widely feared desperado cursed guardian treasure,action adventure international movies sci-fi fantasy,ana layevska alex sirvent paulina goto fernando estrada alejandro oliva david villegas xavier cervantes cuauhtémoc duque karyme lozano rodrigo treviño,rebel rescue sister widely feared desperado cursed guardian treasure action adventure international movies sci-fi fantasy ana layevska alex sirvent paulina goto fernando estrada alejandro oliva david villegas xavier cervantes cuauhtémoc duque karyme lozano rodrigo treviño
3707,motown magic,"Australia, United States",imaginative boy ben city colorful street art life armed magic paintbrush classic,kids sci-fi fantasy,nan,imaginative boy ben city colorful street art life armed magic paintbrush classic kids sci-fi fantasy nan
3708,paquita salas,Spain,one best talent searching desperately new suddenly losing biggest client,international shows spanish-language shows comedies,brays efe belén cuesta lidia san josé álex de lucas mariona terés,one best talent searching desperately new suddenly losing biggest client international shows spanish-language shows comedies brays efe belén cuesta lidia san josé álex de lucas mariona terés
3709,anima,United Kingdom,short musical film directed visual piece best loud,dramas independent movies music musicals,thom yorke,short musical film directed visual piece best loud dramas independent movies music musicals thom yorke
3710,answer for heaven,,angel earth investigate good crime reporter news team,crime shows international shows comedies,sunny suwanmethanont kan kantathavorn pattarasaya kreuasuwansri chayanan manomaisantiphap suwaphat techaviriyawong prachakorn piyasakulkaew nattarika thampridanant michael shaowanasai pattanachai adirek,angel earth investigate good crime reporter news team crime shows international shows comedies sunny suwanmethanont kan kantathavorn pattarasaya kreuasuwansri chayanan manomaisantiphap suwaphat techaviriyawong prachakorn piyasakulkaew nattarika thampridanant michael shaowanasai pattanachai adirek
3711,daniel sosa: maleducado,Mexico,second special childhood major problem coco,stand-up comedy,daniel sosa,second special childhood major problem coco stand-up comedy daniel sosa
3712,hikaru utada laughter in the dark tour 2018,Japan,twenty since debut stage messe final performance laughter dark tour,international movies music musicals,hikaru utada,twenty since debut stage messe final performance laughter dark tour international movies music musicals hikaru utada
3713,kahaani,India,pregnant alone city woman relentless search missing husband find nothing,international movies music musicals thrillers,vidya balan parambrata chatterjee dhritiman chatterjee saswata chatterjee indraneil sengupta nawazuddin siddiqui darshan jariwala masood akhtar riddhi sen,pregnant alone city woman relentless search missing husband find nothing international movies music musicals thrillers vidya balan parambrata chatterjee dhritiman chatterjee saswata chatterjee indraneil sengupta nawazuddin siddiqui darshan jariwala masood akhtar riddhi sen
3714,unbroken,India,brutal three share forgiveness documentary khan,documentaries international movies,nan,brutal three share forgiveness documentary khan documentaries international movies nan
3715,mike epps: only one mike,United States,raw comedy special mike sexual misconduct special aging body much,stand-up comedy,mike epps,raw comedy special mike sexual misconduct special aging body much stand-up comedy mike epps
3716,forest of piano,Japan,kai old piano father famous pianist chance meeting music,anime series international shows,soma saito junichi suwabe natsuki hanae yuichi nakamura kenn aoi yuki mariya ise katsuyuki konishi toshiyuki toyonaga koji yusa hiroshi yanaka ryoko shiraishi yo taichi marie miyake ryo hirohashi motoko kumai maaya sakamoto hideyuki tanaka bin shimada,kai old piano father famous pianist chance meeting music anime series international shows soma saito junichi suwabe natsuki hanae yuichi nakamura kenn aoi yuki mariya ise katsuyuki konishi toshiyuki toyonaga koji yusa hiroshi yanaka ryoko shiraishi yo taichi marie miyake ryo hirohashi motoko kumai maaya sakamoto hideyuki tanaka bin shimada
3717,triple threat,"Thailand, China, United States",crew ruthless hired kill influential heiress meet match trio surprisingly adept come aid,action adventure international movies,tony jaa iko uwais tiger chen scott adkins celina jade michael bisping michael jai white jeeja yanin dominiquie vandenberg,crew ruthless hired kill influential heiress meet match trio surprisingly adept come aid action adventure international movies tony jaa iko uwais tiger chen scott adkins celina jade michael bisping michael jai white jeeja yanin dominiquie vandenberg
3718,blood will tell,"Argentina, United States",family patriarch unravel death wife suspicious light tragic accident,dramas independent movies international movies,oscar martínez dolores fonzi diego velázquez paulina garcia luis gnecco malena sánchez emilio vodanovich norman briski,family patriarch unravel death wife suspicious light tragic accident dramas independent movies international movies oscar martínez dolores fonzi diego velázquez paulina garcia luis gnecco malena sánchez emilio vodanovich norman briski
3719,bolívar,Colombia,dramatization life liberate several,international shows romantic shows spanish-language shows,luis gerónimo abreu josé ramón barreto ernesto benjumea félix antequera jefferson quiñones shany nadan maría josé vargas hans martínez mauro mauad álvaro bayona rosmeri marval irene esser nohely arteaga,dramatization life liberate several international shows romantic shows spanish-language shows luis gerónimo abreu josé ramón barreto ernesto benjumea félix antequera jefferson quiñones shany nadan maría josé vargas hans martínez mauro mauad álvaro bayona rosmeri marval irene esser nohely arteaga
3720,evangelion: death (true)²,Japan,fifteen second impact apathetic teen father group fight truth may destroy,action adventure anime features international movies,megumi ogata kotono mitsuishi megumi hayashibara yuko miyamura yuriko yamaguchi fumihiko tachiki motomu kiyokawa koichi yamadera takehito koyasu hiro yuki miki nagasawa mugihito akira ishida,fifteen second impact apathetic teen father group fight truth may destroy action adventure anime features international movies megumi ogata kotono mitsuishi megumi hayashibara yuko miyamura yuriko yamaguchi fumihiko tachiki motomu kiyokawa koichi yamadera takehito koyasu hiro yuki miki nagasawa mugihito akira ishida
